year,month,day,statefips,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020,1,14,1,-0.00764,-0.0038,-0.0125,-.00349,-.00202,-5.58e-4,-.0118,-.00639
2020,1,14,2,-0.0131,0.0221,-0.017,-.027,.0137,-0.0326,-.0517,.0206
2020,1,14,4,-0.00661,-0.00211,-0.00862,-.00697,-.00228,-0.00274,-.00705,-.00744
2020,1,14,5,-0.00872,-0.00891,-0.011,.,.00102,-0.0142,.,-.0236
2020,1,14,6,-0.00892,1.01e-4,-0.0103,-.00978,-.00427,-0.00889,-.0114,-.00837
2020,1,14,8,-0.0106,-0.0111,-0.0101,-.0111,-.00648,-0.0151,-.0164,-.00657
2020,1,14,9,-0.00454,-0.00679,-0.00239,-.00679,-.00422,-0.00504,.0000289,-.00189
2020,1,14,10,-0.00909,-0.0121,-0.00431,-.0147,-.00783,-0.0139,-.00283,-.00775
2020,1,14,11,-0.00944,-0.00982,-0.0103,-.00855,.00695,-0.0114,-.0143,-.00808
2020,1,14,12,-0.00867,-0.0084,-0.0103,-.00534,-.00891,-0.00831,-.00861,-.00704
2020,1,14,13,-0.0074400000000000004,-0.00743,-0.00687,-.00848,-.00669,-0.00725,-.0081,-.00465
2020,1,14,15,-0.00603,-0.0119,-0.0021,.,.012,-0.00711,-.0203,-.00047
2020,1,14,16,-0.0174,-0.012,-0.0178,-.0265,-.00625,-0.0173,-.0417,-.0202
2020,1,14,17,-0.00764,-0.00849,-0.00701,-.0081,-.00549,-0.0119,-.00903,-.012
2020,1,14,18,-0.00596,-0.00351,-0.00987,.000344,-.00634,-0.00316,-.0099,-.00405
2020,1,14,19,-0.0103,-0.0105,-0.0101,-.0104,-.0107,-0.0127,-.00761,-.00681
2020,1,14,20,-0.00112,0.00135,3.45e-4,-.00735,.00965,-0.0104,-.0103,-.000139
2020,1,14,21,-0.00876,-0.0116,-0.00695,-.00815,-.00307,-0.00719,-.0117,-.0044
2020,1,14,22,-0.0094,-0.0111,-0.0112,-.00203,-.00434,-0.00355,-.0106,-.00434
2020,1,14,23,-0.00385,-0.0152,-2.38e-4,-.00127,-.00279,-0.00411,-.00546,.00531
