year,month,day,statefips,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020,1,14,1,-0.003120,-0.005290,-0.005130,0.004840,-0.001110,0.003540,0.000402,-0.003740
2020,1,14,2,,,,,,,,
2020,1,14,4,0.000667,0.006170,-0.002790,0.002600,-0.000197,0.004240,-0.001490,0.017900
2020,1,14,5,-0.003510,-0.005640,-0.007220,,0.003800,-0.005930,,-0.018300
2020,1,14,6,0.001020,0.015500,-0.001570,0.000580,0.002060,0.001640,0.003350,0.001860
2020,1,14,8,-0.001990,-0.004840,-0.003620,0.001620,0.000650,-0.004450,0.000329,-0.004170
2020,1,14,9,-0.001280,-0.003760,0.000027,-0.001840,-0.000034,0.000484,0.003230,0.002880
2020,1,14,10,-0.002440,-0.001000,-0.000098,-0.007450,-0.003400,-0.006250,0.010500,-0.009660
2020,1,14,11,0.002620,0.009990,-0.003540,0.007100,0.009630,0.011100,-0.012900,0.014400
2020,1,14,12,-0.004070,-0.005030,-0.006880,0.002900,-0.006780,-0.001240,-0.003310,-0.003390
2020,1,14,13,-0.003000,-0.006900,-0.002730,0.000367,-0.002350,0.000350,-0.002680,-0.001850
2020,1,14,15,0.006010,0.001880,0.010600,,0.045900,-0.006260,-0.030000,0.036200
2020,1,14,16,-0.012600,-0.016800,-0.013800,-0.002230,-0.004120,-0.011900,-0.025300,-0.021600
2020,1,14,17,0.000598,0.001270,0.000588,0.000223,-0.002630,-0.005980,0.008230,-0.003360
2020,1,14,18,-0.002830,-0.004600,-0.006030,0.007350,0.001920,0.004040,-0.002660,-0.006490
2020,1,14,19,-0.005260,-0.006650,-0.001080,-0.012800,-0.009140,-0.009110,-0.005280,-0.005390
2020,1,14,20,0.003510,0.007150,-0.000939,0.009490,0.010700,-0.001410,-0.010200,0.000465
2020,1,14,21,-0.003890,-0.008440,-0.003680,0.002710,0.000927,-0.003910,0.001590,-0.003020
2020,1,14,22,-0.004590,-0.009250,-0.006610,0.007370,-0.001120,-0.001500,-0.006670,-0.002200
2020,1,14,23,-0.002360,-0.011800,-0.000283,0.002470,-0.001520,-0.002450,-0.005190,0.005800
2020,1,14,24,0.002040,-0.004840,-0.000250,0.009780,-0.000229,0.010000,-0.002220,0.000308
2020,1,14,25,-0.000477,0.000967,-0.001990,0.001100,0.000767,0.003050,-0.001850,-0.003300
2020,1,14,26,-0.003760,-0.007520,-0.004320,0.001440,-0.002060,-0.006760,-0.002340,-0.005460
2020,1,14,27,0.000539,-0.002680,-0.001190,0.005220,0.003220,0.001430,-0.002540,0.002240
2020,1,14,28,,,,,,,,
2020,1,14,29,-0.000369,-0.000574,-0.003720,0.005960,0.000874,-0.000708,0.000352,-0.003930
2020,1,14,30,-0.002530,-0.012500,0.002900,-0.003900,-0.005370,-0.000279,0.005050,-0.012000
2020,1,14,31,0.009950,0.001100,0.012500,0.013000,0.006760,0.004540,0.049800,-0.014500
2020,1,14,32,0.007190,0.022700,0.000581,0.002150,0.001560,0.007500,0.000257,0.034500
2020,1,14,33,-0.001680,-0.002700,-0.002490,0.000979,0.002050,-0.004850,-0.004310,0.001840
2020,1,14,34,-0.002070,-0.003650,-0.002930,0.000378,-0.004380,-0.000725,-0.003180,-0.001780
2020,1,14,35,-0.012200,-0.019000,-0.013400,0.004080,-0.002000,-0.013200,-0.012900,-0.008860
2020,1,14,36,-0.003070,-0.007210,-0.003630,-0.000146,-0.005090,-0.001500,-0.004830,-0.000371
2020,1,14,37,0.001470,0.003430,-0.002840,0.007920,-0.000201,0.011200,-0.006210,-0.001210
2020,1,14,38,-0.008010,-0.024300,-0.003670,0.004850,0.006900,-0.009420,-0.010500,
2020,1,14,39,-0.000812,0.000282,-0.004210,0.005160,0.000230,0.002220,-0.004090,0.000924
2020,1,14,40,-0.001290,-0.004570,-0.001180,0.002750,0.000782,-0.012000,0.009480,-0.006330
2020,1,14,41,,,,,,,,
2020,1,14,42,-0.001130,-0.006810,-0.000330,0.003270,-0.003010,-0.000669,0.000618,-0.001000
2020,1,14,44,-0.003220,-0.005740,-0.002040,-0.003460,-0.001610,-0.003650,-0.007870,-0.000286
2020,1,14,45,-0.002970,-0.002520,-0.005420,0.002510,-0.000870,0.001070,-0.010400,-0.000508
2020,1,14,46,-0.000541,-0.009610,-0.008400,,,0.006930,,0.018000
2020,1,14,47,-0.003500,-0.008210,-0.003830,0.003320,0.001580,-0.005480,-0.004630,-0.009240
2020,1,14,48,-0.005450,-0.005600,-0.009560,0.001400,-0.006910,-0.000545,-0.006030,-0.004360
2020,1,14,49,-0.002340,-0.009590,-0.001150,0.003570,0.000625,0.002930,-0.020500,0.001960
2020,1,14,50,-0.000696,-0.019500,0.002320,0.006050,0.003050,-0.012000,-0.000318,0.000909
2020,1,14,51,0.004350,0.000016,0.000910,0.011000,0.000128,0.011900,-0.000588,0.005160
2020,1,14,53,0.001270,-0.000793,-0.000401,0.004240,0.005830,0.006570,-0.005600,0.003150
2020,1,14,54,-0.001480,-0.008810,-0.002360,0.014600,0.000990,0.014100,-0.003800,-0.032300
2020,1,14,55,0.001820,0.000320,-0.000568,0.009490,0.000329,-0.003700,0.017000,-0.007470
2020,1,14,56,-0.000905,0.000266,-0.007660,,0.005130,-0.017200,0.008470,-0.001990
2020,1,15,1,-0.002870,-0.005190,-0.003450,0.002130,-0.000993,0.003490,0.000333,-0.004500
2020,1,15,2,,,,,,,,
2020,1,15,4,0.000405,0.004340,-0.002100,0.001870,0.000124,0.001820,-0.001280,0.015200
2020,1,15,5,-0.004580,-0.008010,-0.006720,.,0.003730,-0.006480,.,-0.024700
2020,1,15,6,0.001520,0.010800,0.000013,0.000953,0.002190,0.002250,0.003990,0.001700
2020,1,15,8,-0.001000,-0.004610,-0.002000,0.001930,0.001130,-0.003290,0.000474,-0.002360
2020,1,15,9,-0.001070,-0.002800,0.000284,-0.002190,-0.000330,0.001010,0.003170,0.002680
2020,1,15,10,-0.002280,-0.001180,-0.000332,-0.006360,-0.003270,-0.006240,0.007350,-0.007230
2020,1,15,11,0.002160,0.007750,-0.002850,0.005820,0.008490,0.008650,-0.010400,0.011300
2020,1,15,12,-0.003070,-0.003740,-0.005270,0.002280,-0.005320,-0.000775,-0.002290,-0.002460
2020,1,15,13,-0.002660,-0.005810,-0.002370,-0.000063,-0.002210,-0.000004,-0.002190,-0.001520
2020,1,15,15,0.006750,0.000156,0.011200,.,0.044500,0.003420,-0.027100,0.029100
2020,1,15,16,-0.010600,-0.013100,-0.011500,-0.003740,-0.003990,-0.010900,-0.021600,-0.016900
2020,1,15,17,0.000417,0.000959,0.000530,-0.000057,-0.002010,-0.004550,0.007240,-0.005340
2020,1,15,18,-0.001260,-0.002550,-0.003510,0.005930,0.001900,0.004510,-0.001670,-0.003680
2020,1,15,19,-0.002890,-0.003710,0.001080,-0.010800,-0.005240,-0.006130,-0.004380,-0.002110
2020,1,15,20,0.003740,0.007630,-0.000123,0.008340,0.009710,-0.000064,-0.008060,0.001340
2020,1,15,21,-0.002590,-0.006050,-0.002940,0.003660,0.001750,-0.003160,0.000961,-0.000041
2020,1,15,22,-0.003670,-0.007640,-0.005320,0.006370,-0.001450,-0.001180,-0.005780,0.000417
2020,1,15,23,-0.001890,-0.009280,-0.000039,0.001150,-0.001610,-0.001760,-0.003660,0.005120
2020,1,15,24,0.001690,-0.003250,-0.000490,0.008030,0.000024,0.008430,-0.001930,0.000009
2020,1,15,25,-0.000267,0.000498,-0.001240,0.000794,0.000783,0.002390,-0.001400,-0.001930
2020,1,15,26,-0.002630,-0.004910,-0.003140,0.000879,-0.001560,-0.005470,-0.000656,-0.004760
2020,1,15,27,0.000936,-0.001430,-0.000144,0.004060,0.003270,0.001650,-0.002030,0.003760
2020,1,15,28,,.,.,.,.,.,.,.
2020,1,15,29,-0.000313,-0.000157,-0.003180,0.004770,-0.000027,-0.000867,0.000392,-0.003760
2020,1,15,30,-0.000775,-0.008660,0.003840,-0.002790,-0.003350,0.003860,0.000946,-0.010400
2020,1,15,31,0.008930,0.000811,0.011200,0.011800,0.005460,0.003100,0.046800,-0.013200
2020,1,15,32,0.005910,0.018500,0.000451,0.002020,0.001310,0.005910,0.001250,0.026900
2020,1,15,33,-0.001360,-0.001720,-0.002510,0.001400,0.001410,-0.003880,-0.002980,0.001110
2020,1,15,34,-0.001510,-0.002820,-0.002510,0.000926,-0.003950,-0.000402,-0.002380,-0.001150
2020,1,15,35,-0.009820,-0.014100,-0.011600,0.002800,0.000246,-0.011900,-0.010300,-0.007050
2020,1,15,36,-0.002260,-0.006130,-0.002540,0.000052,-0.004170,-0.001040,-0.003800,-0.000429
2020,1,15,37,0.001590,0.004120,-0.002170,0.006010,-0.000341,0.010300,-0.004620,-0.000726
2020,1,15,38,-0.005760,-0.018600,-0.002640,0.005220,0.007290,-0.006640,-0.006590,.
2020,1,15,39,-0.000511,0.000736,-0.003380,0.004030,0.000106,0.002340,-0.003000,0.001080
2020,1,15,40,-0.000492,-0.001380,-0.001130,0.001900,0.001480,-0.008660,0.008680,-0.004390
2020,1,15,41,,.,.,.,.,.,.,.
2020,1,15,42,-0.000818,-0.005130,-0.000140,0.002400,-0.002500,-0.000253,0.000659,-0.001580
2020,1,15,44,-0.002240,-0.002170,-0.001580,-0.003660,-0.002070,-0.002380,-0.006190,0.001900
2020,1,15,45,-0.002200,-0.002210,-0.003840,0.001970,-0.000446,0.001060,-0.007830,0.000132
2020,1,15,46,0.000965,-0.005220,-0.006810,.,.,0.005500,.,0.015400
2020,1,15,47,-0.002680,-0.006920,-0.002570,0.002560,0.001780,-0.004670,-0.004470,-0.006140
2020,1,15,48,-0.004670,-0.004740,-0.008040,0.000908,-0.006400,-0.000176,-0.005560,-0.004080
