year,month,day,statefips,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020,1,14,1,-0.0132,-0.00816,-0.017,-.0146,-.006,-0.00468,-.016,-.00856
2020,1,14,2,-0.0308,0.0177,-0.0377,-.0576,-.00938,-0.0653,-.0594,.0129
2020,1,14,4,-0.00846,-0.00374,-0.00989,-.0105,-.00323,-0.0055,-.00922,-.00822
2020,1,14,5,-0.0103,-0.00897,-0.0134,.,-.00281,-0.0145,.,-.0215
2020,1,14,6,-0.0114,-0.00454,-0.0118,-.0134,-.00596,-0.0123,-.0144,-.00935
2020,1,14,8,-0.015,-0.0149,-0.0133,-.018,-.00687,-0.0224,-.0212,-.00934
2020,1,14,9,-0.0065,-0.00858,-0.0036,-.0101,-.00611,-0.00772,-.00136,-.00228
2020,1,14,10,-0.0131,-0.0139,-0.0074,-.0235,-.0109,-0.0194,-.00935,-.00445
2020,1,14,11,-0.0134,-0.0267,-0.0125,-.0132,.00556,-0.0168,-.0169,-.00871
2020,1,14,12,-0.0111,-0.0107,-0.0114,-.0107,-.0112,-0.0119,-.0101,-.00818
2020,1,14,13,-0.0109,-0.00958,-0.00933,-.0154,-.0101,-0.011,-.0134,-.00468
2020,1,14,15,-0.00952,-0.0176,-0.00482,.,.00664,-0.0103,-.023,.000816
2020,1,14,16,-0.0257,-0.0203,-0.0252,-.0354,-.00691,-0.0253,-.0727,-.0193
2020,1,14,17,-0.0107,-0.012,-0.00839,-.0135,-.00765,-0.0156,-.0127,-.0131
2020,1,14,18,-0.00757,-0.00633,-0.0102,-.00286,-.00841,-0.0054,-.00938,-.00528
2020,1,14,19,-0.0153,-0.0126,-0.0115,-.0295,-.0152,-0.0173,-.0212,-.00732
2020,1,14,20,-0.00525,-0.00157,-0.00371,-.0129,.00588,-0.0152,-.0139,-.0101
2020,1,14,21,-0.0121,-0.0142,-0.0101,-.0138,-.0057,-0.0106,-.014,-.00511
2020,1,14,22,-0.0119,-0.0134,-0.0127,-.00708,-.006,-0.00764,-.0144,-.00472
2020,1,14,23,-0.00527,-0.017,-7.84e-4,-.00451,-.00439,-0.00536,-.00637,.00353
2020,1,14,24,-0.00804,-0.00957,-0.00672,-.00901,-.00566,-0.00933,-.00963,-.0035
2020,1,14,25,-0.00848,-0.00712,-0.00627,-.0123,-.00378,-0.0142,-.00775,-.007
2020,1,14,26,-0.00927,-0.0117,-0.00606,-.0132,-.00575,-0.0152,-.0106,-.0064
2020,1,14,27,-0.00721,-0.0102,-0.00711,-.0054,-.00431,-0.0106,-.0127,-.00271
2020,1,14,28,-0.0034,-3.36e-5,-0.00692,-.00614,.00737,-0.00611,-.00819,.0127
2020,1,14,29,-0.00645,-0.00958,-0.00517,-.00449,-.00405,-0.0076,-.00393,-.0101
2020,1,14,30,-0.0172,-0.0174,-0.0146,-.0241,-.00285,-0.0103,-.0029,-.0149
2020,1,14,31,0.00312,-0.00395,0.00559,.00503,-.000596,0.0041,.048,-.00844
2020,1,14,32,-0.00836,-0.0066,-0.00875,-.00991,-.0066,-0.00953,-.014,-.00151
2020,1,14,33,-0.00542,-0.00605,-0.00409,-.00788,-.00206,-0.0119,-.00947,.0013
2020,1,14,34,-0.00697,-0.00775,-0.00514,-.00899,-.00889,-0.00821,-.00855,-.00354
2020,1,14,35,-0.0155,-0.0168,-0.0132,-.0184,-.0105,-0.0201,-.0274,.0000732
2020,1,14,36,-0.00838,-0.0144,-0.00604,-.00963,-.0104,-0.00795,-.0107,-.00167
2020,1,14,37,-0.0107,-0.00479,-0.0129,-.0157,-.00681,-0.00823,-.0196,-.00521
2020,1,14,38,-0.0222,-0.0276,-0.0208,-.0167,-.0231,-0.0188,-.024,.
2020,1,14,39,-0.00659,-0.00317,-0.00818,-.00883,-.0059,-0.0047,-.0101,-.00388
2020,1,14,40,-0.00775,-0.00806,-0.00682,-.00934,-.00409,-0.0125,-.00449,-.00773
2020,1,14,41,-0.0265,-0.0235,-0.0252,-.0326,-.0195,-0.0321,-.0395,-.0123
2020,1,14,42,-0.00881,-0.0114,-0.00601,-.0112,-.00557,-0.0123,-.00996,-.00397
2020,1,14,44,-0.0076,-0.0111,-0.00413,-.0119,-.0074,-0.00746,-.0159,-.0000749
2020,1,14,45,-0.00711,-0.00339,-0.00677,-.0152,-.00497,-0.00853,-.0165,-.00192
2020,1,14,46,-0.00407,-0.0119,-0.00265,.,.,-0.00113,.,-.00314
2020,1,14,47,-0.00882,-0.00961,-0.00793,-.00977,-.00231,-0.0146,-.00637,-.00965
2020,1,14,48,-0.0131,-0.00884,-0.0151,-.0141,-.0124,-0.0126,-.015,-.00876
2020,1,14,49,-0.0125,-0.0118,-0.0162,-.00529,-.00521,-0.0082,-.0319,-.00432
2020,1,14,50,-0.00383,-0.0262,0.00179,-.00169,-.00058,-0.015,-.00749,-.00512
2020,1,14,51,-0.00836,-0.00648,-0.00743,-.0108,-.00635,-0.00666,-.015,.0037
2020,1,14,53,-0.0197,0.00215,-0.0204,-.0205,-.00983,-0.0263,-.0432,-.00547
2020,1,14,54,-0.00688,-0.00829,-0.00876,-.000663,-.000424,0.0123,-.00169,-.0432
2020,1,14,55,-0.00715,-0.00943,-0.00645,-.00555,-.00609,-0.0114,-.00544,-.00644
2020,1,14,56,-0.016,-0.0101,-0.0174,.,.0371,-0.0385,-.0549,.0021
2020,1,15,1,-0.00479,-0.0026,-0.00653,-.00508,.000779,0.00191,-.00561,-.00662
2020,1,15,2,-0.0114,0.0251,-0.014,-.0396,-.00869,0.00152,-.0433,.0177
2020,1,15,4,-0.00396,-0.00102,-0.00587,-.00279,.0000237,-0.00198,-.00391,-.00524
2020,1,15,5,-0.00502,-0.00731,-0.00652,.,.00158,-0.0061,.,-.0262
2020,1,15,6,-0.00444,0.0019,-0.00593,-.00399,-.00106,-0.00362,-.00554,-.00634
2020,1,15,8,-0.00278,-0.00461,-0.00355,-.000643,.0000146,-0.0043,-.0053,-.00405
2020,1,15,9,-0.00179,-0.00284,-4.05e-4,-.00349,-.00176,-8.76e-4,.00188,-.000591
2020,1,15,10,-0.00375,-0.00547,-0.00127,-.00677,-.00433,-0.00897,.00274,-.00248
2020,1,15,11,-0.00475,-0.00776,-0.00621,-.00308,.00798,-0.00509,-.0083,-.00643
2020,1,15,12,-0.00433,-0.00397,-0.00607,-.00077,-.00487,-0.00223,-.00356,-.0054
2020,1,15,13,-0.00305,-0.00377,-0.00319,-.002,-.00218,-0.00143,-.00399,-.0025
2020,1,15,15,-9.1e-4,-0.00939,9.03e-4,.,.014,0.003,-.0155,.00043
2020,1,15,16,-0.0125,-0.0061,-0.0139,-.0191,-.0032,-0.017,-.0283,-.0134
2020,1,15,17,-0.00362,-0.00445,-0.004,-.00245,-.00251,-0.00571,-.00371,-.011
2020,1,15,18,-0.00248,-0.00138,-0.00524,.00292,-.00425,0.0011,-.00412,-.00184
2020,1,15,19,-0.00488,-0.00565,-0.00181,-.0112,-.00889,-0.00425,-.00123,-.00518
2020,1,15,20,0.00243,0.00541,0.002,-.0000623,.014,-0.00253,-.00498,-.00483
2020,1,15,21,-0.00571,-0.00852,-0.00597,.000101,-.00169,-0.00397,-.00649,-.00134
2020,1,15,22,-0.00541,-0.00782,-0.00625,.00109,-.00154,-0.00148,-.00577,-.000948
2020,1,15,23,-0.0018600000000000001,-0.00968,0.00114,-.00141,-.00166,-0.00184,-.003,.00522
2020,1,15,24,-0.00256,-0.0031,-0.0032,-.00109,-.00183,-8.43e-4,-.00507,-.0024
2020,1,15,25,-0.00142,9.36e-4,-0.00161,-.00207,.000887,-0.003,-.00112,-.00197
2020,1,15,26,-0.00319,-0.00469,-0.00273,-.00234,-.00081,-0.00526,-.00469,-.00431
2020,1,15,27,-0.00109,-0.00379,-0.00181,.00203,.00126,-0.00255,-.00618,.00219
2020,1,15,28,9.78e-4,0.00437,-0.00316,-.000417,.00952,-0.00228,-.00125,.0101
2020,1,15,29,-7.17e-4,-0.00387,-1.81e-4,.0029,.0031,-1.17e-4,.000713,-.00885
2020,1,15,30,-0.00193,-0.00796,1.71e-4,-.0000813,.00219,-0.0017,-.00323,-.00756
2020,1,15,31,0.00953,0.00278,0.0104,.0145,.000628,0.00849,.0539,-.00662
2020,1,15,32,-0.00325,-0.0019,-0.00471,-.00181,-.00268,-0.00422,-.00561,-.00169
2020,1,15,33,-0.00148,-0.00173,-0.00198,-.0000376,.00125,-0.0056,-.00388,.00239
2020,1,15,34,-0.0022,-0.00329,-0.00224,-.00126,-.00391,-0.00172,-.00347,-.00199
2020,1,15,35,-0.00839,-0.00904,-0.00705,-.0103,-.00244,-0.0125,-.0169,.0017
2020,1,15,36,-0.00272,-0.00594,-0.0023,-.00178,-.00445,-0.00126,-.00457,.000525
2020,1,15,37,-7.2e-4,0.00178,-0.00355,.00189,.00013,0.00386,-.00458,-.00242
2020,1,15,38,-0.00824,-0.0174,-0.00495,-.00173,.00406,-0.00735,-.0111,.
2020,1,15,39,-0.00115,0.00119,-0.00361,.00085,-.000228,0.00195,-.00349,-.00147
2020,1,15,40,-0.00101,3.32e-4,-0.00161,-.00165,.00164,-0.00385,.00317,-.00472
2020,1,15,41,-0.00358,-0.00451,-0.00422,-.000989,-.00191,-7.81e-4,-.00648,-.00276
2020,1,15,42,-0.00217,-0.00471,-0.0013,-.00088,-.00149,-0.00201,-.00257,-.00138
2020,1,15,44,-0.00164,-8.91e-4,-8.2e-4,-.00414,-.00291,-0.00121,-.0059,.0038
2020,1,15,45,-1.15e-5,0.00152,-0.00117,.000217,.000703,-1.8e-4,-.00705,-.000239
2020,1,15,46,0.00339,-0.0013,0.00324,.,.,0.00649,.,-.00108
2020,1,15,47,-0.00296,-0.00497,-0.00276,-.000349,.000647,-0.00642,-.00157,-.0053
2020,1,15,48,-0.00605,-0.00386,-0.00922,-.00266,-.00738,-0.00318,-.0073,-.00638
2020,1,15,49,-0.00348,-0.00376,-0.00784,.00645,.000271,0.00325,-.0185,-.000642
2020,1,15,50,-0.0013,-0.0194,0.00323,.000475,.00222,-0.0116,.000359,-.00455
2020,1,15,51,-4.18e-4,5.89e-4,-0.00155,.000406,-.000822,0.00353,-.00613,.0062
2020,1,15,53,-0.00357,0.00619,-0.00582,-.000364,.00147,-0.00694,-.0141,.00223
2020,1,15,54,-0.00122,-0.0023,-0.00322,.00465,.0000302,0.0168,.0000489,-.0239
2020,1,15,55,-0.00184,-0.00325,-0.00235,.00148,-.00145,-0.00402,.000128,-.00318
2020,1,15,56,0.00161,0.00407,-4.06e-4,.,.0359,-0.0264,.0051,.0063
2020,1,16,1,0.00388,0.00308,0.00401,.00519,.00785,0.00845,.00497,-.00451
2020,1,16,2,0.00883,0.0318,0.0111,-.0203,-.0076,0.0713,-.0259,.0221
2020,1,16,4,5.68e-4,0.00185,-0.00189,.00509,.00323,0.00177,.00147,-.00235
2020,1,16,5,6.21e-4,-0.00518,5.37e-4,.,.00596,0.00267,.,-.0296
2020,1,16,6,0.00254,0.00916,-3.02e-4,.00551,.00378,0.00512,.00322,-.00334
2020,1,16,8,0.00981,0.00635,0.00636,.0172,.00691,0.0143,.0111,.00143
2020,1,16,9,0.00298,0.00301,0.00275,.00337,.00272,0.00607,.00507,.00103
2020,1,16,10,0.006,0.00337,0.00502,.0105,.00273,0.002,.0152,-.000338
2020,1,16,11,0.00405,0.0114,1.24e-4,.00726,.0104,0.00709,.000277,-.00431
2020,1,16,12,0.00247,0.00278,-7.28e-4,.00942,.00162,0.00754,.00301,-.00255
2020,1,16,13,0.00503,0.0021,0.00311,.0118,.00602,0.00833,.00569,-.000357
2020,1,16,15,0.0078,-4.86e-4,0.00668,.,.0209,0.0152,-.00797,-.000163
2020,1,16,16,0.00128,0.00841,-0.00208,-.00189,.000539,-0.00804,.0176,-.00732
2020,1,16,17,0.00358,0.0033,3.88e-4,.00891,.00279,0.00431,.00544,-.0087
2020,1,16,18,0.00261,0.00343,-3e-4,.00882,.0000471,0.00782,.000951,.00132
2020,1,16,19,0.00583,0.00155,0.00804,.0076,-.00219,0.00894,.0191,-.00308
2020,1,16,20,0.0101,0.0123,0.00767,.013,.0221,0.0104,.00418,.000173
2020,1,16,21,8.38e-4,-0.00273,-0.00169,.0141,.00251,0.00293,.00135,.0019
2020,1,16,22,0.00121,-0.00204,2.55e-4,.00964,.00289,0.0048,.00312,.0025
2020,1,16,23,0.00152,-0.00206,0.0028,.00204,.00097,0.00173,.000386,.00665
2020,1,16,24,0.00306,0.00345,4.13e-4,.00711,.00221,0.00776,-.000412,-.00114
2020,1,16,25,0.00575,0.00951,0.00297,.00847,.00558,0.00847,.00549,.00317
2020,1,16,26,0.00298,0.00227,6.7e-4,.00882,.00427,0.00497,.00117,-.00221
2020,1,16,27,0.0051,0.00271,0.0035,.0096,.00673,0.00562,.000504,.00688
2020,1,16,28,0.00529,0.00844,7.02e-4,.00568,.0115,0.00106,.00593,.00731
2020,1,16,29,0.00514,0.00199,0.00486,.0105,.0104,0.00748,.00542,-.00739
2020,1,16,30,0.0136,0.00172,0.0151,.0246,.007,0.00651,-.00326,-.0000218
2020,1,16,31,0.0159,0.00965,0.0152,.0238,.00196,0.0129,.0585,-.00442
2020,1,16,32,0.00181,0.00267,-7.24e-4,.00635,.0013,0.00104,.00245,-.0018
2020,1,16,33,0.00243,0.00261,-2.71e-5,.00802,.00467,9.02e-4,.00164,.0031
2020,1,16,34,0.0026,0.00132,6.03e-4,.00654,.0012,0.00483,.00157,-.000312
2020,1,16,35,-0.00126,-0.00135,-9.12e-4,-.00194,.0057,-0.00485,-.0063,.00312
2020,1,16,36,0.00298,0.00306,0.00126,.00624,.00159,0.00548,.0015,.00247
2020,1,16,37,0.00953,0.00842,0.00599,.02,.00741,0.0162,.0107,.000459
2020,1,16,38,0.0062,-0.00722,0.0116,.0141,.0326,0.00435,.00168,.
2020,1,16,39,0.0044,0.00554,0.00105,.0109,.00556,0.00861,.0032,.000999
2020,1,16,40,0.00578,0.00861,0.00365,.00631,.00725,0.00503,.0108,-.0018
2020,1,16,41,0.0199,0.0149,0.0172,.0317,.016,0.0314,.0274,.00713
2020,1,16,42,0.00462,0.00217,0.00346,.00975,.00272,0.00853,.00496,.00125
2020,1,16,44,0.0043,0.00888,0.00243,.00409,.00171,0.0052,.00418,.0072
2020,1,16,45,0.00713,0.00634,0.00445,.016,.00647,0.00824,.00263,.00152
2020,1,16,46,0.0106,0.00895,0.00889,.,.,0.0139,.,.0000212
2020,1,16,47,0.00301,-2.8e-4,0.00244,.00946,.00366,0.002,.0034,-.00107
2020,1,16,48,0.00115,0.00119,-0.00318,.00917,-.00219,0.00643,.00057,-.00399
2020,1,16,49,0.00563,0.0042,7.26e-4,.0183,.00558,0.0151,-.00483,.00308
2020,1,16,50,0.00129,-0.0122,0.00448,.00329,.00509,-0.00783,.00761,-.00371
2020,1,16,51,0.00773,0.00778,0.00442,.012,.00505,0.0139,.00305,.00848
2020,1,16,53,0.0127,0.0135,0.00858,.0202,.0126,0.0129,.0155,.00923
2020,1,16,54,0.0042,0.00329,0.00231,.00959,.000409,0.0209,.00177,-.00457
2020,1,16,55,0.00356,0.00297,0.00184,.00866,.0033,0.00353,.00569,.0000652
2020,1,16,56,0.0194,0.0181,0.0166,.,.034,-0.0129,.0662,.0102
2020,1,17,1,0.00658,0.0049,0.00821,.00612,.00934,0.00997,.00866,-.00351
2020,1,17,2,0.0132,0.0301,0.0166,-.0131,-.00626,0.0857,-.0186,.0212
