year,month,day,statefips,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020,1,14,1,-0.00354,-.000994,-0.00633,-.00168,.00269,-0.00114,-.0102,.00104
2020,1,14,2,-0.00369,.00774,-0.00303,-.00703,.0064,0.00354,-.00628,-.0294
2020,1,14,4,-0.00378,-.000734,-0.00578,-.00257,-.00217,6.25e-4,-.000838,-.0107
2020,1,14,5,-0.00209,-.00773,-4.45e-4,.,-.00162,-0.00213,.,-.0217
2020,1,14,6,-0.00408,.,-0.00732,-.00451,-.00154,-0.00262,-.00573,-.00456
2020,1,14,8,-0.00308,-.00192,-0.00536,-.000169,-.00402,-0.00273,-.00437,.000487
2020,1,14,9,-0.00195,-.0024,-0.00135,-.00264,-.0000661,1.16e-4,-.00175,-.00127
2020,1,14,10,-0.00376,-.00196,-0.00313,-.00623,-.00165,-0.00587,-.000708,.000175
2020,1,14,11,-0.00418,-.00603,-0.00623,-.0023,.00556,-0.00287,-.00736,-.009
2020,1,14,12,-0.00465,-.00606,-0.00538,-.00143,-.00421,-0.00311,-.00482,-.00483
2020,1,14,13,-0.00265,-.00474,-0.00179,-.00192,-.000668,-0.00244,-.00391,-.00273
2020,1,14,15,0.00384,.00112,0.00806,.,.0212,-0.00531,-.0272,.000361
2020,1,14,16,-0.0094,-.012,-0.00801,-.00881,.00102,-0.0136,-.0223,-.0102
2020,1,14,17,-0.00253,-.00382,-0.0027,-.0015,-.00075,-0.00748,-.00352,-.00338
2020,1,14,18,-0.00923,-.0101,-0.012,-.00126,-.00417,-0.0112,-.0135,-.016
2020,1,14,19,-0.00706,-.00734,-0.0064,-.00823,-.00703,-0.00681,-.00403,-.00973
2020,1,14,20,-4e-4,.00408,-9.88e-4,-.00298,.00442,6.18e-4,-.00597,.000455
2020,1,14,21,-0.00377,-.00929,-0.00264,.00238,-.00772,-5.71e-6,.00479,-.0108
2020,1,14,22,-0.00373,-.00839,-0.00471,.00603,.0014,-0.00142,-.000589,-.0166
2020,1,14,23,-0.00125,-.00742,7.32e-4,-.000522,.0000104,-0.00252,-.00545,.00485
2020,1,14,24,-0.00396,-.00606,-0.00512,-.000931,-.00231,-0.00481,-.00477,.00132
2020,1,14,25,-0.00105,.,-0.00257,-.000951,.0014,-0.00201,-.00236,-.00122
2020,1,14,26,-0.00316,-.00631,-0.0028,-.000394,.000294,-0.00474,-.0012,-.00417
2020,1,14,27,-0.00204,-.00247,-0.00341,.000479,.00205,-0.00517,-.00374,-.00457
2020,1,14,28,-0.00548,-.0086,-0.00445,.00285,.00151,0.00158,-.0201,-.0158
2020,1,14,29,0.00131,-.00192,4.62e-4,.00621,.00265,0.00344,-.0025,.00146
2020,1,14,30,-0.00857,-.0126,-0.00731,-.00608,.00193,-0.00177,.0000855,-.00502
2020,1,14,31,0.00569,.00194,0.00707,.00631,.00176,0.00918,.0134,-.00444
2020,1,14,32,-0.00345,-.00269,-0.00397,-.0033,-.0013,-0.00519,-.00457,.0012
2020,1,14,33,-0.00192,-.0022,-0.00215,-.00117,.00174,-0.00836,-.00194,.00242
2020,1,14,34,-0.00174,-.00383,-0.00106,-.00112,-.00206,-3.23e-4,-.00297,-.00405
2020,1,14,35,-0.00407,-.00491,-0.00784,.00589,-.00801,3.18e-4,-.00651,.00856
2020,1,14,36,-0.00322,-.00595,-0.00369,-.00115,-.00606,-0.00197,-.00394,-.00211
2020,1,14,37,-0.0018600000000000001,-.000684,-0.00473,.00263,-.000594,0.00637,-.00603,-.00218
2020,1,14,38,-0.00466,-.0194,-7.62e-4,.,.0103,-0.00812,-.0103,.
2020,1,14,39,-8.95e-4,.000846,-0.00319,.00159,-.000976,0.00218,-.00127,-.00188
2020,1,14,40,-0.00205,-.00757,3.13e-4,.000331,.00023,-0.0093,.00481,-.00944
2020,1,14,41,-0.00118,.,-0.00209,.00094,-.000931,8.87e-4,-.00375,.00102
2020,1,14,42,-0.00187,-.0037,-0.00202,.000326,-.000682,-0.00201,-.00324,.00168
2020,1,14,44,-0.00226,-.00595,-9.41e-4,-.00185,-.00347,-0.00117,-.00688,-.00272
2020,1,14,45,0.00178,.00441,3.32e-4,.00131,.00395,4.99e-4,-.00559,.000433
2020,1,14,46,-0.001,-.0136,-0.00956,.,.,0.00107,.,-.00924
2020,1,14,47,-0.0029,-.00486,-0.00343,.000828,.00136,-0.00384,-.00151,-.00894
2020,1,14,48,-0.00435,-.00473,-0.00701,.00039,-.00319,-0.00219,-.00787,-.00134
2020,1,14,49,-0.00192,.00472,-0.00589,-.00208,-.00465,0.00735,-.0121,.00295
2020,1,14,50,-8.13e-4,-.0113,0.00105,.00311,.0000721,-0.00487,-.0082,-.00176
2020,1,14,51,5.8e-5,-.00198,-9.02e-4,.00234,-.0000916,0.0037,-.00251,-.00385
2020,1,14,53,-0.00732,.0133,-0.0114,-.00149,-.00187,-0.00901,-.0126,-.0134
2020,1,14,54,-0.0042,-.00386,-0.00638,.,.000712,0.00145,-.00182,-.0244
2020,1,14,55,-0.00137,-.00379,-0.00114,.00133,.000224,-0.00243,-.0000396,-.0042
2020,1,14,56,-0.00562,-.00756,-0.00673,.,-.00558,-0.0254,-.00616,.00798
2020,1,15,1,-0.00317,-.00132,-0.00465,-.00303,.00249,-9.04e-4,-.0087,.000725
2020,1,15,2,-0.00236,.00793,-0.00157,-.00567,.0086,0.00359,-.00569,-.0267
2020,1,15,4,-0.0032,-.00134,-0.00445,-.00237,-.00156,-0.00114,-.000351,-.0086
2020,1,15,5,-0.00296,-.00921,-2.66e-4,.,-.00132,-0.00279,.,-.028
2020,1,15,6,-0.0024,.,-0.0045,-.0031,-.000518,-8.66e-4,-.00313,-.00344
2020,1,15,8,-0.00165,-.00101,-0.00306,.000189,-.00282,-0.00122,-.00306,.00265
2020,1,15,9,-0.00158,-.00148,-9.45e-4,-.00265,-.0000735,9.42e-4,-.00142,-.00127
2020,1,15,10,-0.00337,-.00158,-0.00296,-.00552,-.00194,-0.00545,-.00224,.000925
2020,1,15,11,-0.00314,-.00557,-0.0046,-.00169,.00521,-0.00241,-.0053,-.00798
2020,1,15,12,-0.00349,-.00449,-0.00385,-.00156,-.00295,-0.00251,-.00342,-.00383
2020,1,15,13,-0.00211,-.0035,-0.00137,-.00192,-.000471,-0.00209,-.003,-.00221
2020,1,15,15,0.00566,.00156,0.00945,.,.0228,0.00441,-.0256,-.000114
2020,1,15,16,-0.00709,-.00795,-0.0062,-.00806,.000848,-0.0115,-.018,-.00555
2020,1,15,17,-0.00193,-.00307,-0.00185,-.00135,-.0000866,-0.00609,-.00224,-.00412
2020,1,15,18,-0.00694,-.00791,-0.00883,-.000958,-.00298,-0.00948,-.0107,-.0126
2020,1,15,19,-0.00515,-.00451,-0.00471,-.00713,-.00502,-0.00451,-.0034,-.00686
2020,1,15,20,5.42e-5,.00408,-4.83e-4,-.00225,.00419,0.00169,-.00447,.00118
2020,1,15,21,-0.00262,-.00786,-0.00166,.00348,-.00738,6e-4,.00485,-.0083
2020,1,15,22,-0.00262,-.0068,-0.00322,.0056,.00127,-0.001,.000113,-.0133
2020,1,15,23,-8.53e-4,-.00498,8.96e-4,-.00174,-.000314,-0.00232,-.00389,.00451
2020,1,15,24,-0.0032,-.004,-0.00454,-.000696,-.00158,-0.00343,-.00396,.00105
2020,1,15,25,-6.44e-4,.,-0.00174,-.000774,.00144,-0.00164,-.00189,-.000153
2020,1,15,26,-0.00195,-.00374,-0.0017,-.00048,.000517,-0.00328,.000604,-.00341
2020,1,15,27,-0.00126,-.00117,-0.00206,.000019,.00212,-0.00378,-.00285,-.0022
2020,1,15,28,-0.00403,-.00691,-0.00324,.00402,.00326,0.00342,-.018,-.016
2020,1,15,29,0.00134,-.00117,6.65e-4,.00519,.00178,0.00311,-.00195,.00156
2020,1,15,30,-0.0066,-.0103,-0.00528,-.00464,.00325,0.00234,-.00342,-.00407
2020,1,15,31,0.00505,.00181,0.00614,.00577,.00123,0.00691,.0128,-.00442
2020,1,15,32,-0.0026,-.00198,-0.00295,-.00264,-.000701,-0.00422,-.0023,.0002
2020,1,15,33,-0.00143,-.00109,-0.00199,-.000542,.000983,-0.00626,-.000693,.00179
2020,1,15,34,-0.00104,-.00288,-6.6e-4,-.000209,-.00177,2.63e-4,-.00188,-.0031
2020,1,15,35,-0.00257,-.00175,-0.00646,.00455,-.00512,0.00165,-.00443,.00732
2020,1,15,36,-0.00224,-.00486,-0.00246,-.00065,-.00502,-0.00133,-.0024,-.0019
2020,1,15,37,-0.00127,.000172,-0.00354,.00154,-.000829,0.00619,-.00412,-.00134
2020,1,15,38,-0.00225,-.0133,1.29e-4,.,.0103,-0.00545,-.00421,.
2020,1,15,39,-5.89e-4,.00107,-0.00249,.00112,-.00102,0.00225,-.000311,-.00144
