year,month,day,statefips,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020,1,14,1,-0.00307,-7.34e-4,-0.00671,.00141,.00194,0.00258,-.00562,-.000942
2020,1,14,2,-0.00311,0.0288,-0.00137,-.023,.0138,0.041,-.0451,.0226
2020,1,14,4,-0.00411,-2.62e-6,-0.00678,-.0023,-.000351,0.00169,-.0048,-.00674
2020,1,14,5,-0.00508,-0.00707,-0.00756,.,.00334,-0.00933,.,-.0225
2020,1,14,6,-0.00588,0.00575,-0.00849,-.0054,-.002,-0.00489,-.00798,-.0068
2020,1,14,8,-0.00409,-0.00716,-0.00497,-.00129,-.00154,-0.00612,-.00785,-.00389
2020,1,14,9,-0.00217,-0.00416,-8.23e-4,-.00318,-.00189,-0.00159,.0018,-.00123
2020,1,14,10,-0.00379,-0.00728,-7.54e-4,-.00584,-.00379,-0.00759,.00526,-.00707
2020,1,14,11,-0.00513,7.67e-4,-0.00791,-.00331,.00873,-0.00397,-.0113,-.00731
2020,1,14,12,-0.00585,-0.00605,-0.00827,-.000146,-.00675,-0.0035,-.0062,-.00597
2020,1,14,13,-0.00376,-0.00484,-0.0046,-.00094,-.00241,-0.00154,-.00532,-.00318
2020,1,14,15,-0.00314,-0.00892,-6.36e-4,.,.0107,-0.00413,-.0174,-.000255
2020,1,14,16,-0.0132,-0.00872,-0.0136,-.0197,-.00465,-0.0137,-.0286,-.0201
2020,1,14,17,-0.00417,-0.00452,-0.00531,-.00211,-.00287,-0.00774,-.00454,-.0108
2020,1,14,18,-0.00425,-0.00139,-0.00885,.00305,-.00419,-5.31e-4,-.00905,-.00297
2020,1,14,19,-0.00615,-0.00757,-0.00675,-.0027,-.0114,-0.00797,.00385,-.0058
2020,1,14,20,0.00273,0.00415,0.00352,-.000756,.0139,-0.005,-.00609,.00119
2020,1,14,21,-0.00637,-0.00975,-0.00594,-.00102,-.000744,-0.0038,-.00847,-.0037
2020,1,14,22,-0.00656,-0.00901,-0.00861,.00287,-.00196,2.1e-4,-.00727,-.00357
2020,1,14,23,-0.00232,-0.0127,4.79e-4,.0019,-.00153,-0.00237,-.00443,.00633
2020,1,14,24,-0.00258,-0.00479,-0.0028,-.000609,-.000828,-0.00138,-.00484,-.00231
2020,1,14,25,-0.00194,0.00169,-0.00292,-.00191,.000503,-0.00302,-.00233,-.00337
2020,1,14,26,-0.00468,-0.00786,-0.0043,-.00163,-.00103,-0.00738,-.00609,-.00544
2020,1,14,27,-0.00185,-0.00576,-0.00308,.00299,.000877,-0.00317,-.00644,-.000245
2020,1,14,28,-5.54e-4,0.0045,-0.00724,-.00139,.0113,-0.00206,-.0104,.0127
2020,1,14,29,-5.02e-4,-0.00397,-3.18e-4,.00441,.00351,-2.83e-5,.0000459,-.00593
2020,1,14,30,-0.0039,-0.0125,-8.38e-4,-.000548,.0017,-0.00664,-.00859,-.00942
2020,1,14,31,0.00768,-3.45e-4,0.00956,.0118,.000863,0.00606,.0441,-.00932
2020,1,14,32,-0.00425,-0.00284,-0.00606,-.00207,-.00226,-0.00533,-.00858,-.000551
2020,1,14,33,-0.00204,-0.00347,-0.00242,.00022,.00284,-0.00715,-.00556,.00227
2020,1,14,34,-0.00301,-0.00416,-0.00319,-.0018,-.00456,-0.00216,-.00513,-.00211
2020,1,14,35,-0.0113,-0.0129,-0.0112,-.00819,-.00405,-0.0126,-.0145,-.000646
2020,1,14,36,-0.00395,-0.00707,-0.00405,-.0021,-.00543,-0.00194,-.00753,-.0000229
2020,1,14,37,-0.00199,0.0015,-0.00557,.000553,-.000212,0.00373,-.00856,-.00404
2020,1,14,38,-0.00958,-0.0232,-0.0039,-.00294,.00324,-0.0076,-.0156,.
2020,1,14,39,-0.00139,7.72e-4,-0.00437,.00216,.000152,0.00183,-.00494,-.00152
2020,1,14,40,-0.00314,-0.0073,-0.00145,-.000605,.000704,-0.0137,.00333,-.00604
2020,1,14,41,-0.00373,-0.00508,-0.00495,.000694,-.00244,8.88e-6,-.00626,-.00265
2020,1,14,42,-0.00232,-0.00699,-7.83e-4,.000169,-.000889,-0.00249,-.00218,-.00144
2020,1,14,44,-0.00268,-0.00558,-0.00102,-.00365,-.0018,-0.00325,-.00675,.00106
2020,1,14,45,-0.00251,-8.08e-4,-0.00561,.00294,-.00427,-0.00151,-.011,-.00293
2020,1,14,46,0.00167,-0.008,-0.00378,.,.,0.00381,.,.00928
2020,1,14,47,-0.00462,-0.00697,-0.00489,-.000442,.000196,-0.00645,-.0034,-.0102
2020,1,14,48,-0.00727,-0.00489,-0.0116,-.00206,-.00825,-0.0042,-.00927,-.0072
2020,1,14,49,-0.00398,-0.00719,-0.00642,.00609,-.000623,0.0049,-.0167,-.00144
2020,1,14,50,-0.00108,-0.0227,0.00338,.00432,.00364,-0.0126,-.00218,-.00272
2020,1,14,51,-3.82e-4,-5.61e-4,-0.00226,.00225,-.00122,0.00427,-.00596,.00444
2020,1,14,53,-0.00579,0.0177,-0.0093,-.00139,-.000557,-0.00745,-.0169,-.00444
2020,1,14,54,-0.00293,-0.00757,-0.00209,.00479,.00248,0.00749,.000825,-.0319
2020,1,14,55,-0.00283,-0.00567,-0.00291,.0014,-.00227,-0.00445,.000395,-.00493
2020,1,14,56,-0.00345,-0.00105,-1.08e-4,.,.00833,-0.0266,.00428,-.00224
2020,1,15,1,-0.00251,-9.06e-4,-0.00428,-.00108,.00176,0.00327,-.00471,-.000902
2020,1,15,2,-0.00357,0.0261,-0.00311,-.0198,.0122,0.0254,-.042,.0219
2020,1,15,4,-0.00344,-8.34e-4,-0.00519,-.00214,.00022,-7.91e-4,-.00356,-.00481
2020,1,15,5,-0.00611,-0.00907,-0.00716,.,.00361,-0.00902,.,-.0288
2020,1,15,6,-0.0041,0.00244,-0.00557,-.00382,-.000995,-0.00318,-.00524,-.00555
2020,1,15,8,-0.00282,-0.00644,-0.00309,-.000741,-.000165,-0.00441,-.0065,-.00254
2020,1,15,9,-0.00144,-0.0025,-8.93e-5,-.00309,-.00151,-3.91e-4,.00218,-.000418
2020,1,15,10,-0.00336,-0.00624,-7.89e-4,-.00517,-.00415,-0.00741,.004,-.00574
2020,1,15,11,-0.00377,0.00166,-0.00581,-.00259,.00817,-0.00324,-.00796,-.00624
2020,1,15,12,-0.00424,-0.00391,-0.00617,-.000328,-.00508,-0.00187,-.00437,-.00521
2020,1,15,13,-0.00292,-0.00337,-0.00364,-.00108,-.00181,-0.0011,-.00409,-.00248
2020,1,15,15,-8.93e-4,-0.00789,0.00122,.,.0121,0.00324,-.015,-.000646
2020,1,15,16,-0.0109,-0.00631,-0.0113,-.0177,-.00363,-0.0132,-.0223,-.0147
2020,1,15,17,-0.00319,-0.00364,-0.00392,-.00174,-.00217,-0.00556,-.003,-.0106
2020,1,15,18,-0.00261,-2.37e-4,-0.00617,.00282,-.00321,1.83e-4,-.00585,-.00127
2020,1,15,19,-0.00448,-0.00555,-0.00482,-.00216,-.00866,-0.00409,.00282,-.00476
2020,1,15,20,0.00325,0.0061,0.00315,.000184,.0133,-0.00267,-.00452,.00151
2020,1,15,21,-0.00522,-0.00844,-0.00486,.0000201,-.00105,-0.00289,-.00702,-.000759
2020,1,15,22,-0.0053,-0.00751,-0.00677,.00234,-.00165,1.69e-4,-.0056,-.00157
2020,1,15,23,-0.00142,-0.00905,0.00114,-.0000618,-.000692,-0.00179,-.00288,.00617
2020,1,15,24,-0.00194,-0.00284,-0.0024,-.000523,-.00121,-3.12e-4,-.00377,-.00241
2020,1,15,25,-0.00106,0.00129,-0.00142,-.00145,.00102,-0.00217,-.00104,-.00187
2020,1,15,26,-0.00313,-0.00461,-0.00309,-.00143,-.000452,-0.00566,-.00397,-.00415
2020,1,15,27,-8.81e-4,-0.00402,-0.00153,.00235,.00155,-0.00196,-.0053,.0023
2020,1,15,28,-1.83e-4,0.0047,-0.00612,-.00229,.0106,6.37e-5,-.00991,.0101
