periodID,statefips,emp_combined,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020_1_15,1,-0.487,0.00262,0.00256,-0.00562,-0.00414
2020_1_15,2,-0.122,0.00112,0.0013,-0.00687,0.00167
2020_1_15,4,-0.367,-0.00106,-7.69E-04,-0.00301,-0.00482
2020_1_15,5,-0.766,0.00305,-0.00907,.,-0.0312
2020_1_15,6,-0.432,-0.00102,-0.00347,-0.00537,-0.00654
2020_1_15,8,-0.385,-0.00225,-0.00714,-0.00598,-0.0021
2020_1_15,9,-0.17,-0.00161,-4.01E-04,0.00271,-0.000609
2020_1_15,10,-0.303,-0.00387,-0.00845,0.00394,-0.002
2020_1_15,12,-0.469,-0.00549,-0.00267,-0.0047,-0.00671
2020_1_15,13,-0.329,-0.0025,-0.00203,-0.00353,-0.00321
2020_1_15,15,-0.366,-0.00644,0.00324,-0.0151,-0.000623
2020_1_15,16,-1.41,-0.00172,-0.0162,-0.0295,-0.0282
2020_1_15,17,-0.359,-0.00283,-0.00554,-0.00314,-0.0108
2020_1_15,18,-0.216,-0.00469,0.00351,-0.00655,-0.00136
2020_1_15,19,-0.507,-0.0156,-0.00696,0.00873,-0.00333
2020_1_15,20,0.152,0.00999,-0.0104,-0.00586,0.000479
2020_1_15,21,-0.516,0.000263,-0.00841,-0.00613,-0.000288
2020_1_15,22,-0.546,-0.00289,0.00387,-0.00588,-0.00313
2020_1_15,23,-0.146,-0.00359,-0.00173,-0.00449,0.00816
2020_1_15,24,0.117,-0.000946,0.00942,-0.00297,0.000631
2020_1_15,25,-0.117,0.00104,-0.00218,-0.00126,-0.00165
2020_1_15,26,-0.248,0.000428,-0.00131,-0.00422,-0.00585
2020_1_15,27,-0.0871,0.00365,-0.00161,-0.00566,0.00173
2020_1_15,28,-0.0768,0.0157,0.00341,-0.00104,-0.0223
2020_1_15,29,-0.0296,0.00161,-8.40E-04,-0.001,-0.00514
2020_1_15,30,0.0298,0.00166,7.02E-04,-0.00118,-0.00374
2020_1_15,31,0.58,0.000465,-0.00639,0.0432,-0.0014
2020_1_15,32,-0.364,-0.00239,-0.00425,-0.00583,-0.00312
2020_1_15,33,-0.147,0.00221,-0.00512,-0.00355,0.000316
2020_1_15,34,-0.206,-0.00347,-0.00202,-0.0034,-0.00175
2020_1_15,35,-0.947,-0.00145,-0.00721,-0.011,-0.00148
2020_1_15,36,-0.332,-0.00427,-0.00106,-0.00806,-0.000677
2020_1_15,37,-0.126,-0.000915,0.00656,-0.00607,-0.00299
2020_1_15,38,-0.695,0.00403,-0.00534,-0.00807,.
2020_1_15,39,-0.177,0.00012,0.00193,-0.00667,-0.00165
2020_1_15,40,-0.237,0.00187,-0.0107,0.00255,-0.00389
2020_1_15,41,-0.303,-0.00245,2.80E-04,-0.00568,-0.00258
2020_1_15,42,-0.137,0.000197,-0.00174,-0.000945,-0.000798
2020_1_15,44,-0.153,-0.00196,-0.00133,-0.00467,0.00274
2020_1_15,45,-0.0856,-0.00331,-8.48E-04,-0.00537,-0.00187
2020_1_15,46,0.24,.,0.00349,.,0.00977
2020_1_15,47,-0.36,0.00142,-0.00533,-0.00454,-0.00551
2020_1_15,48,-0.663,-0.00746,-0.00328,-0.00856,-0.00822
2020_1_15,49,-0.446,0.00142,0.0046,-0.0224,0.00017
2020_1_15,50,-0.147,0.00211,-0.00908,0.00323,-0.0089
2020_1_15,51,-0.0884,-0.00544,0.00249,-0.00451,0.00958
2020_1_15,53,-0.211,0.00202,-0.00523,-0.0121,0.00829
2020_1_15,54,-0.0935,-0.000368,0.0099,0.00106,-0.0234
2020_1_15,55,-0.232,-0.000823,-0.0024,-0.00137,-0.00672
2020_1_15,56,-0.49,0.00361,-0.0237,-0.00407,-0.0177
2020_1_16,1,-0.379,0.00186,0.00302,-0.00366,-0.00358
2020_1_16,2,-0.0679,0.00161,0.00127,-0.00545,0.00119
2020_1_16,4,-0.312,-0.000454,-0.00325,-0.00198,-0.00331
2020_1_16,5,-0.842,0.00318,-0.00853,.,-0.0363
2020_1_16,6,-0.268,-0.000269,-0.00174,-0.00296,-0.00527
2020_1_16,8,-0.25,-0.000968,-0.00616,-0.0047,-0.00121
2020_1_16,9,-0.106,-0.00132,7.30E-04,0.00284,0.000141
