year,month,day,statefips,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020,1,15,1,0.00197,0.00436,-0.00105,0.00463,0.0118,0.00907,0.00428,-0.00845
2020,1,15,2,-0.00531,.,-0.00652,-9.72E-04,.,-0.0178,.,.
2020,1,15,4,-0.00109,-0.00181,-0.00188,0.00171,-0.00156,0.00438,-0.000995,-0.000512
2020,1,15,5,-0.00865,-0.0118,-0.00998,7.00E-04,-0.00774,-0.000556,.,-0.0325
2020,1,15,6,-0.00111,-0.000202,-0.0022,6.66E-04,0.00279,0.00118,0.000556,-0.00726
2020,1,15,8,-0.00329,-0.00564,-0.00427,-5.70E-04,0.000227,-0.0111,0.00116,-0.00143
2020,1,15,9,0.00102,-0.00134,0.00281,-5.23E-04,0.00111,0.00123,0.00896,-0.00425
2020,1,15,10,-8.16E-04,-0.005,0.00299,-0.00378,-0.00387,-0.00638,0.0048,.
2020,1,15,11,0.00405,0.00618,-0.000816,0.00859,0.015,0.0073,-0.00638,0.00096
2020,1,15,12,-3.05E-04,-0.00255,-0.00121,0.00465,-0.00495,0.000556,0.00188,0.00269
2020,1,15,13,4.78E-05,-0.00148,-0.00125,0.00431,-0.0000277,0.000922,0.000194,-0.00331
2020,1,15,15,0.00787,-0.0056,0.0108,0.0138,0.0177,.,-0.0176,.
2020,1,15,16,-0.013,-0.00607,-0.0198,-0.00405,.,-0.00741,.,-0.0183
2020,1,15,17,-4.51E-04,-0.00267,-0.0007,0.00145,-0.00198,-0.00194,0.00378,-0.00861
2020,1,15,18,9.65E-05,0.000327,-0.00301,0.00803,-0.000468,0.0057,-0.00531,0.00186
2020,1,15,19,-0.00683,-0.0104,-0.00591,-0.00373,-0.0148,-0.00611,0.0136,-0.0114
2020,1,15,20,0.00274,0.00317,0.00357,3.50E-04,0.00658,.,-0.00346,0.00319
2020,1,15,21,-0.0033,-0.0076,-0.00169,7.45E-04,0.00178,-0.00988,-0.00759,-0.00104
2020,1,15,22,-1.80E-06,-0.00536,0.00303,0.00379,0.00156,0.00949,0.00523,-0.000336
2020,1,15,23,0.00197,-0.00585,0.00444,0.00408,-0.000807,-0.000753,0.00206,0.0112
2020,1,15,24,0.00551,-0.00145,0.00771,0.00725,0.000921,0.0213,-0.000259,-0.000448
2020,1,15,25,6.72E-04,-0.000603,0.000981,7.20E-04,0.00307,0.00219,-0.000922,-0.00176
2020,1,15,26,-0.00123,-0.000268,-0.00115,-0.00255,-0.000196,-0.00234,0.000193,-0.00555
